forecast_time,predicted_aqi
2026-02-09 00:00:00,3.49
2026-02-09 01:00:00,3.12
2026-02-09 02:00:00,2.85
2026-02-09 03:00:00,3.64
2026-02-09 04:00:00,3.05
2026-02-09 05:00:00,3.28
2026-02-09 06:00:00,3.21
2026-02-09 07:00:00,4.07
2026-02-09 08:00:00,4.84
2026-02-09 09:00:00,3.65
2026-02-09 10:00:00,3.83
2026-02-09 11:00:00,3.04
2026-02-09 12:00:00,3.67
2026-02-09 13:00:00,3.7
2026-02-09 14:00:00,3.17
2026-02-09 15:00:00,3.09
2026-02-09 16:00:00,2.94
2026-02-09 17:00:00,3.42
2026-02-09 18:00:00,3.77
2026-02-09 19:00:00,3.93
2026-02-09 20:00:00,2.89
2026-02-09 21:00:00,3.26
2026-02-09 22:00:00,3.55
2026-02-09 23:00:00,3.21
2026-02-10 00:00:00,2.78
2026-02-10 01:00:00,2.88
2026-02-10 02:00:00,2.46
2026-02-10 03:00:00,2.41
2026-02-10 04:00:00,2.41
2026-02-10 05:00:00,2.55
2026-02-10 06:00:00,2.95
2026-02-10 07:00:00,2.86
2026-02-10 08:00:00,2.97
2026-02-10 09:00:00,3.36
2026-02-10 10:00:00,3.17
2026-02-10 11:00:00,3.65
2026-02-10 12:00:00,3.32
2026-02-10 13:00:00,2.83
2026-02-10 14:00:00,3.17
2026-02-10 15:00:00,2.9
2026-02-10 16:00:00,3.19
2026-02-10 17:00:00,3.65
2026-02-10 18:00:00,3.48
2026-02-10 19:00:00,3.55
2026-02-10 20:00:00,3.68
2026-02-10 21:00:00,3.35
2026-02-10 22:00:00,2.88
2026-02-10 23:00:00,2.69
2026-02-11 00:00:00,2.86
2026-02-11 01:00:00,3.26
2026-02-11 02:00:00,2.8
2026-02-11 03:00:00,3.36
2026-02-11 04:00:00,3.25
2026-02-11 05:00:00,2.44
2026-02-11 06:00:00,2.01
2026-02-11 07:00:00,3.24
2026-02-11 08:00:00,3.37
2026-02-11 09:00:00,2.68
2026-02-11 10:00:00,3.11
2026-02-11 11:00:00,2.56
2026-02-11 12:00:00,2.84
2026-02-11 13:00:00,2.39
2026-02-11 14:00:00,1.83
2026-02-11 15:00:00,1.87
2026-02-11 16:00:00,1.95
2026-02-11 17:00:00,2.58
2026-02-11 18:00:00,2.91
2026-02-11 19:00:00,3.19
2026-02-11 20:00:00,2.7
2026-02-11 21:00:00,2.46
2026-02-11 22:00:00,2.02
2026-02-11 23:00:00,2.12
