datetime,aqi,co,no2,o3,so2,pm2_5,pm10,nh3
2025-08-01 00:00:00,4,75.34,0.11,44.85,0.51,31.92,147.74,0.0
2025-08-01 01:00:00,4,76.23,0.1,44.87,0.51,32.07,149.8,0.0
2025-08-01 02:00:00,4,76.66,0.1,44.88,0.51,31.65,149.29,0.0
2025-08-01 03:00:00,4,76.55,0.1,44.92,0.52,30.54,144.1,0.0
2025-08-01 04:00:00,4,76.13,0.1,45.04,0.53,29.06,136.64,0.0
2025-08-01 05:00:00,4,75.66,0.1,45.29,0.54,27.61,129.85,0.0
2025-08-01 06:00:00,4,75.17,0.1,45.73,0.53,25.81,118.61,0.0
2025-08-01 07:00:00,4,75.39,0.1,46.46,0.5,23.46,103.01,0.0
2025-08-01 08:00:00,3,75.59,0.1,47.12,0.47,21.43,89.79,0.0
2025-08-01 09:00:00,3,75.32,0.08,47.44,0.44,20.08,79.59,0.0
2025-08-01 10:00:00,3,74.9,0.07,47.32,0.43,19.66,73.25,0.0
2025-08-01 11:00:00,3,74.68,0.07,46.8,0.42,19.6,68.27,0.0
2025-08-01 12:00:00,3,75.03,0.06,46.23,0.41,19.57,65.52,0.0
2025-08-01 13:00:00,3,75.99,0.06,45.71,0.4,19.56,64.75,0.0
2025-08-01 14:00:00,3,77.52,0.05,45.35,0.39,19.7,65.37,0.0
2025-08-01 15:00:00,3,79.24,0.05,45.23,0.38,19.96,67.95,0.0
2025-08-01 16:00:00,3,80.85,0.05,45.15,0.37,20.1,70.63,0.0
2025-08-01 17:00:00,3,81.54,0.05,45.09,0.38,20.45,74.81,0.0
2025-08-01 18:00:00,3,81.76,0.06,45.05,0.39,21.08,81.17,0.0
2025-08-01 19:00:00,3,81.49,0.08,44.96,0.41,21.93,88.78,0.0
2025-08-01 20:00:00,3,80.33,0.09,44.67,0.43,23.17,98.04,0.0
2025-08-01 21:00:00,4,78.49,0.09,44.01,0.45,24.46,108.02,0.0
2025-08-01 22:00:00,4,76.46,0.09,43.39,0.46,25.64,116.8,0.0
2025-08-01 23:00:00,4,74.49,0.09,42.87,0.47,26.29,122.32,0.0
2025-08-02 00:00:00,4,72.71,0.09,42.56,0.47,25.9,121.78,0.0
2025-08-02 01:00:00,4,71.4,0.09,42.81,0.46,24.54,113.92,0.0
2025-08-02 02:00:00,4,70.73,0.09,43.39,0.43,22.69,102.28,0.0
2025-08-02 03:00:00,3,70.84,0.09,44.35,0.41,20.95,90.78,0.0
2025-08-02 04:00:00,3,71.42,0.08,45.63,0.38,19.45,79.54,0.0
2025-08-02 05:00:00,3,72.05,0.08,46.89,0.36,18.41,71.53,0.0
2025-08-02 06:00:00,3,72.53,0.08,48.04,0.35,17.85,68.08,0.0
2025-08-02 07:00:00,3,72.41,0.08,48.58,0.36,17.85,67.96,0.0
2025-08-02 08:00:00,3,71.8,0.08,48.73,0.36,17.94,67.19,0.0
2025-08-02 09:00:00,3,71.17,0.07,48.62,0.36,17.73,64.45,0.0
